appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log,conj,negate,posemo,negemo,insight,cause,discrep,certain,assent
0,1.098612289,0.693147181,1.098612289,0.693147181,1.098612289,0,0,8.72,2.29,6.42,1.38,5.5,2.75,4.13,2.75,2.75
0.693147181,1.098612289,0,0,0,0,0,0,5,1.67,5,1.67,4.44,0.56,1.11,2.22,1.67
0,2.890371758,0.693147181,0,2.397895273,0,0,0,7.56,3.44,2.06,1.72,2.41,1.37,4.12,1.03,0.34
0,0,0.693147181,0,0,0.693147181,0,0,12.15,2.82,3.67,1.41,3.39,2.26,1.41,0.85,0.85
0,2.772588722,2.079441542,0,2.397895273,0,0,1.386294361,9.36,3,1.87,2.62,5.99,1.5,0,2.62,3
0,0,0,0,0,0,0,0,6.07,2.02,6.07,2.02,4.05,4.05,0.4,0.81,0.4
0,0.693147181,1.098612289,0,0.693147181,0,0,0,4.55,5.84,4.55,2.6,7.14,1.3,2.6,2.6,1.3
0,2.772588722,0.693147181,0,2.302585093,0,0,0,9.05,2.26,3.17,0,6.33,5.88,1.36,2.26,0.45
0,2.197224577,0.693147181,0,1.609437912,0,0,0,9.54,0.38,2.29,1.15,5.34,3.44,2.67,0.76,1.53
0,0.693147181,0.693147181,0,0,0,0,0,8.17,2.72,1.56,1.56,4.28,3.11,2.72,1.17,1.17
0,1.386294361,2.397895273,0,2.197224577,0,0,0,7.3,2.58,3.86,1.29,5.58,4.29,3,1.72,5.58
0,2.48490665,0,0,2.197224577,0,2.079441542,0,7.4,2.37,2.37,0.59,5.62,4.14,1.48,3.25,0.3
0,0,2.197224577,0,0,0,0,0,7.02,2.89,2.89,0.83,6.2,3.72,1.24,2.89,3.31
0,0,1.945910149,0,1.098612289,0,0,0,8.33,2.94,3.43,2.7,1.96,2.7,2.94,3.68,2.45
0,0,2.564949357,0,0,0,0,0,13.07,2.51,6.53,2.01,4.02,4.52,6.53,4.52,0.5
0,0,2.708050201,0,0.693147181,0,0,0.693147181,6.77,3.19,2.39,3.19,7.97,3.98,2.79,0.4,7.17
0,0.693147181,2.397895273,0,1.609437912,1.386294361,0,0,7.35,3.68,5.88,1.84,4.41,2.21,2.57,1.1,4.78
0,1.098612289,1.386294361,0.693147181,0.693147181,0,0,0,7.2,1.44,4.32,0.58,6.63,3.46,2.88,4.32,1.15
0,2.833213344,2.564949357,1.098612289,2.397895273,0,0,0,5.51,2.36,7.09,0,3.94,1.57,3.15,0.79,12.6
0,1.945910149,0,0,1.386294361,0,1.098612289,0,8.63,2.54,4.57,0.51,4.57,2.54,2.54,3.05,0.51
0,0.693147181,1.098612289,0.693147181,1.609437912,0,0,0,8.15,1.88,4.08,0.94,3.76,2.19,2.19,0.94,1.57
0,0,2.079441542,0,2.63905733,0,0,0.693147181,8.16,4.76,5.1,0.68,4.08,3.06,1.02,1.02,3.06
0,1.098612289,2.48490665,0,1.098612289,2.079441542,1.386294361,1.098612289,6.87,7.3,5.15,0,8.15,6.87,2.58,1.29,6.01
0,0,1.609437912,0,2.302585093,0,0,0,7.97,2.54,3.99,1.09,2.9,2.17,4.71,2.17,2.17
0,0,1.609437912,0,1.098612289,0,0,0.693147181,8.33,5.73,2.08,0.52,5.73,4.17,6.77,0,2.6
